ts_micro,gps_lat,gps_lon,imu_yaw,imu_pitch,imu_roll,tps,brake_press_front,brake_press_rear,susp_travel_f,susp_travel_r,tire_temp_surface,tire_temp_carcass,wheel_speed_f,wheel_speed_r,gps_speed,rpm,gear,tcs_level,engine_map
0,37.0,-2.999,0.9285198508026042,-1.6582006485990783,0.3525540714563721,89.89979946416219,2.8224001611973444,0.42336002417960167,44.31143101695627,51.96853228096524,85.0,83.5,180.3764912515062,184.22162284269902,180.60943415950885,15532.574413491402,4,3,Mapping 1
10000,37.000002000398744,-2.9990000020007996,0.9613581623133276,0.8912069925461823,2.489517408392489,89.93221045527389,2.5733217547775844,0.38599826321663766,43.09600862370274,52.9390446402635,85.31721383654285,83.72204968557999,178.1555984090539,181.99479785998582,178.42277392598757,15608.05885351021,3,3,Mapping 1
20000,37.00000400078949,-2.99900000800319,0.7499129183216177,-0.05803200641519668,-1.5621095541712176,89.9583131644186,2.3238368284322832,0.34857552426484245,43.492880501180174,51.645296902124144,85.63437803522552,83.94406462465787,181.87058310777843,186.16373364522315,182.50630724797375,15610.16934338262,4,3,Mapping 1
30000,37.000006001164216,-2.9990000180071483,0.4401107032656179,-0.5999091184624037,1.5027782004895651,89.97810346802669,2.073984794486578,0.31109771917298673,42.86994531024838,52.280264772119736,85.95144296602939,84.16601007622057,183.7819335392398,187.06782228428872,183.38903817842944,15613.956095812846,4,3,Mapping 1
40000,37.000008001514935,-2.999000032012633,0.4128263071564397,-0.2508175117603908,4.4222964229170305,89.99157823972939,1.8238051232593548,0.2735707684889032,44.128289795785584,52.7541242966148,86.26835901461763,84.38785131023234,178.3170659841492,181.68451477532585,178.10810404608054,15633.085334315689,3,3,Mapping 1
50000,37.00001000183364,-2.999000050019589,0.27756044955483006,1.036770787041004,3.5853687950659143,89.99873535085268,1.5733373368279,0.23600060052418498,42.31531849873581,52.577861716256166,86.58507659017306,84.60955361312114,178.4769123816713,183.52390957751638,179.90776353055227,15496.1132484197,3,3,Mapping 1
60000,37.00001200211231,-2.999000072027944,0.40759705542163416,0.7312405173250732,7.07846911726584,89.99957367075355,1.3226210027844598,0.19839315041766897,40.601182615795864,53.726822336520634,86.90154613323222,84.83108229326255,181.75598410308183,186.95673403445056,183.26935461950612,15750.758097624708,4,3,Mapping 1
70000,37.00001400234296,-2.9990000980376097,0.4753625836642024,-0.12792345800550073,1.680933155358149,89.9940930669986,1.0716957279855264,0.16075435919782896,42.10617682842782,52.26099099599416,87.21771812351454,85.05240268646018,183.2706000839782,186.56551260612864,182.8822638129361,15580.025084611278,4,3,Mapping 1
80000,37.000016002517576,-2.9990001280484826,-1.404422165727381,-1.1391074640692798,2.140991257147348,89.98229440538495,0.8206011522949596,0.12309017284424392,43.01698916180773,50.52647763644004,87.53354308774529,85.2734801614217,183.2316778456505,187.6907370245516,183.98166662538387,15628.776049268503,4,3,Mapping 1
90000,37.00001800262815,-2.999000162060442,-0.7902471459442385,-1.0685445969116398,7.74771056968177,89.96417954980355,0.5693769423218896,0.08540654134828345,42.05099630302909,51.30706300062918,87.84897160747106,85.49428012522974,183.08514602517633,186.4981536831517,182.80906671680654,15532.946796043852,4,3,Mapping 1
